pair,family,condition,method,truth,prediction,correct,abstain
3,human_override,receipt_revealed,trace-r,operator,operator,1,0
4,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
4,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
4,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
4,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
4,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
4,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
4,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
4,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
4,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
4,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
5,human_override,ordinary_trace,outcome,operator,developer,0,0
5,human_override,ordinary_trace,causal,operator,developer,0,0
5,human_override,ordinary_trace,rule,operator,provider,0,0
5,human_override,ordinary_trace,scm,operator,operator,1,0
5,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
5,human_override,receipt_revealed,outcome,operator,developer,0,0
5,human_override,receipt_revealed,causal,operator,operator,1,0
5,human_override,receipt_revealed,rule,operator,operator,1,0
5,human_override,receipt_revealed,scm,operator,operator,1,0
5,human_override,receipt_revealed,trace-r,operator,operator,1,0
6,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
6,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
6,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
6,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
6,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
6,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
6,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
6,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
6,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
6,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
7,human_override,ordinary_trace,outcome,operator,developer,0,0
7,human_override,ordinary_trace,causal,operator,developer,0,0
7,human_override,ordinary_trace,rule,operator,provider,0,0
7,human_override,ordinary_trace,scm,operator,operator,1,0
7,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
7,human_override,receipt_revealed,outcome,operator,developer,0,0
7,human_override,receipt_revealed,causal,operator,operator,1,0
7,human_override,receipt_revealed,rule,operator,operator,1,0
7,human_override,receipt_revealed,scm,operator,operator,1,0
7,human_override,receipt_revealed,trace-r,operator,operator,1,0
8,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
8,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
8,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
8,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
8,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
8,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
8,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
8,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
8,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
8,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
9,human_override,ordinary_trace,outcome,operator,developer,0,0
9,human_override,ordinary_trace,causal,operator,developer,0,0
9,human_override,ordinary_trace,rule,operator,provider,0,0
9,human_override,ordinary_trace,scm,operator,operator,1,0
9,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
9,human_override,receipt_revealed,outcome,operator,developer,0,0
9,human_override,receipt_revealed,causal,operator,operator,1,0
9,human_override,receipt_revealed,rule,operator,operator,1,0
9,human_override,receipt_revealed,scm,operator,operator,1,0
9,human_override,receipt_revealed,trace-r,operator,operator,1,0
10,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
10,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
10,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
10,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
10,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
10,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
10,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
10,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
10,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
10,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
11,human_override,ordinary_trace,outcome,operator,developer,0,0
11,human_override,ordinary_trace,causal,operator,developer,0,0
11,human_override,ordinary_trace,rule,operator,provider,0,0
11,human_override,ordinary_trace,scm,operator,operator,1,0
11,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
11,human_override,receipt_revealed,outcome,operator,developer,0,0
11,human_override,receipt_revealed,causal,operator,operator,1,0
11,human_override,receipt_revealed,rule,operator,operator,1,0
11,human_override,receipt_revealed,scm,operator,operator,1,0
11,human_override,receipt_revealed,trace-r,operator,operator,1,0
12,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
12,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
12,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
12,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
12,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
12,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
12,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
12,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
12,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
12,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
13,human_override,ordinary_trace,outcome,operator,developer,0,0
13,human_override,ordinary_trace,causal,operator,developer,0,0
13,human_override,ordinary_trace,rule,operator,provider,0,0
13,human_override,ordinary_trace,scm,operator,operator,1,0
13,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
13,human_override,receipt_revealed,outcome,operator,developer,0,0
13,human_override,receipt_revealed,causal,operator,operator,1,0
13,human_override,receipt_revealed,rule,operator,operator,1,0
13,human_override,receipt_revealed,scm,operator,operator,1,0
13,human_override,receipt_revealed,trace-r,operator,operator,1,0
14,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
14,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
14,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
14,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
14,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
14,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
14,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
14,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
14,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
14,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
15,human_override,ordinary_trace,outcome,operator,developer,0,0
15,human_override,ordinary_trace,causal,operator,developer,0,0
15,human_override,ordinary_trace,rule,operator,provider,0,0
15,human_override,ordinary_trace,scm,operator,operator,1,0
15,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
15,human_override,receipt_revealed,outcome,operator,developer,0,0
15,human_override,receipt_revealed,causal,operator,operator,1,0
15,human_override,receipt_revealed,rule,operator,operator,1,0
15,human_override,receipt_revealed,scm,operator,operator,1,0
15,human_override,receipt_revealed,trace-r,operator,operator,1,0
16,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
16,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
16,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
16,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
16,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
16,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
16,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
16,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
16,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
16,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
17,human_override,ordinary_trace,outcome,operator,developer,0,0
17,human_override,ordinary_trace,causal,operator,developer,0,0
17,human_override,ordinary_trace,rule,operator,provider,0,0
17,human_override,ordinary_trace,scm,operator,operator,1,0
17,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
17,human_override,receipt_revealed,outcome,operator,developer,0,0
17,human_override,receipt_revealed,causal,operator,operator,1,0
17,human_override,receipt_revealed,rule,operator,operator,1,0
17,human_override,receipt_revealed,scm,operator,operator,1,0
17,human_override,receipt_revealed,trace-r,operator,operator,1,0
18,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
18,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
18,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
18,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
18,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
18,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
18,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
18,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
18,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
18,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
19,human_override,ordinary_trace,outcome,operator,developer,0,0
19,human_override,ordinary_trace,causal,operator,developer,0,0
19,human_override,ordinary_trace,rule,operator,provider,0,0
19,human_override,ordinary_trace,scm,operator,operator,1,0
19,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
19,human_override,receipt_revealed,outcome,operator,developer,0,0
19,human_override,receipt_revealed,causal,operator,operator,1,0
19,human_override,receipt_revealed,rule,operator,operator,1,0
19,human_override,receipt_revealed,scm,operator,operator,1,0
19,human_override,receipt_revealed,trace-r,operator,operator,1,0
20,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
20,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
20,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
20,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
20,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
20,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
20,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
20,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
20,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
20,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
21,human_override,ordinary_trace,outcome,operator,developer,0,0
21,human_override,ordinary_trace,causal,operator,developer,0,0
21,human_override,ordinary_trace,rule,operator,provider,0,0
21,human_override,ordinary_trace,scm,operator,operator,1,0
21,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
21,human_override,receipt_revealed,outcome,operator,developer,0,0
21,human_override,receipt_revealed,causal,operator,operator,1,0
21,human_override,receipt_revealed,rule,operator,operator,1,0
21,human_override,receipt_revealed,scm,operator,operator,1,0
21,human_override,receipt_revealed,trace-r,operator,operator,1,0
22,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
22,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
22,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
22,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
22,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
22,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
22,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
22,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
22,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
22,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
23,human_override,ordinary_trace,outcome,operator,developer,0,0
23,human_override,ordinary_trace,causal,operator,developer,0,0
23,human_override,ordinary_trace,rule,operator,provider,0,0
23,human_override,ordinary_trace,scm,operator,operator,1,0
23,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
23,human_override,receipt_revealed,outcome,operator,developer,0,0
23,human_override,receipt_revealed,causal,operator,operator,1,0
23,human_override,receipt_revealed,rule,operator,operator,1,0
23,human_override,receipt_revealed,scm,operator,operator,1,0
23,human_override,receipt_revealed,trace-r,operator,operator,1,0
24,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
24,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
24,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
24,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
24,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
24,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
24,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
24,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
24,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
24,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
25,human_override,ordinary_trace,outcome,operator,developer,0,0
25,human_override,ordinary_trace,causal,operator,developer,0,0
25,human_override,ordinary_trace,rule,operator,provider,0,0
25,human_override,ordinary_trace,scm,operator,operator,1,0
25,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
25,human_override,receipt_revealed,outcome,operator,developer,0,0
25,human_override,receipt_revealed,causal,operator,operator,1,0
25,human_override,receipt_revealed,rule,operator,operator,1,0
25,human_override,receipt_revealed,scm,operator,operator,1,0
25,human_override,receipt_revealed,trace-r,operator,operator,1,0
26,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
26,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
26,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
26,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
26,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
26,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
26,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
26,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
26,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
26,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
27,human_override,ordinary_trace,outcome,operator,developer,0,0
27,human_override,ordinary_trace,causal,operator,developer,0,0
27,human_override,ordinary_trace,rule,operator,provider,0,0
27,human_override,ordinary_trace,scm,operator,operator,1,0
27,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
27,human_override,receipt_revealed,outcome,operator,developer,0,0
27,human_override,receipt_revealed,causal,operator,operator,1,0
27,human_override,receipt_revealed,rule,operator,operator,1,0
27,human_override,receipt_revealed,scm,operator,operator,1,0
27,human_override,receipt_revealed,trace-r,operator,operator,1,0
28,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
28,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
28,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
28,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
28,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
28,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
28,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
28,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
28,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
28,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
29,human_override,ordinary_trace,outcome,operator,developer,0,0
29,human_override,ordinary_trace,causal,operator,developer,0,0
29,human_override,ordinary_trace,rule,operator,provider,0,0
29,human_override,ordinary_trace,scm,operator,operator,1,0
29,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
29,human_override,receipt_revealed,outcome,operator,developer,0,0
29,human_override,receipt_revealed,causal,operator,operator,1,0
29,human_override,receipt_revealed,rule,operator,operator,1,0
29,human_override,receipt_revealed,scm,operator,operator,1,0
29,human_override,receipt_revealed,trace-r,operator,operator,1,0
30,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
30,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
30,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
30,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
30,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
30,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
30,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
30,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
30,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
30,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
31,human_override,ordinary_trace,outcome,operator,developer,0,0
31,human_override,ordinary_trace,causal,operator,developer,0,0
31,human_override,ordinary_trace,rule,operator,provider,0,0
31,human_override,ordinary_trace,scm,operator,operator,1,0
31,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
31,human_override,receipt_revealed,outcome,operator,developer,0,0
31,human_override,receipt_revealed,causal,operator,operator,1,0
31,human_override,receipt_revealed,rule,operator,operator,1,0
31,human_override,receipt_revealed,scm,operator,operator,1,0
31,human_override,receipt_revealed,trace-r,operator,operator,1,0
32,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
32,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
32,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
32,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
32,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
32,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
32,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
32,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
32,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
32,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
33,human_override,ordinary_trace,outcome,operator,developer,0,0
33,human_override,ordinary_trace,causal,operator,developer,0,0
33,human_override,ordinary_trace,rule,operator,provider,0,0
33,human_override,ordinary_trace,scm,operator,operator,1,0
33,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
33,human_override,receipt_revealed,outcome,operator,developer,0,0
33,human_override,receipt_revealed,causal,operator,operator,1,0
33,human_override,receipt_revealed,rule,operator,operator,1,0
33,human_override,receipt_revealed,scm,operator,operator,1,0
33,human_override,receipt_revealed,trace-r,operator,operator,1,0
34,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
34,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
34,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
34,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
34,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
34,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
34,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
34,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
34,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
34,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
35,human_override,ordinary_trace,outcome,operator,developer,0,0
35,human_override,ordinary_trace,causal,operator,developer,0,0
35,human_override,ordinary_trace,rule,operator,provider,0,0
35,human_override,ordinary_trace,scm,operator,operator,1,0
35,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
35,human_override,receipt_revealed,outcome,operator,developer,0,0
35,human_override,receipt_revealed,causal,operator,operator,1,0
35,human_override,receipt_revealed,rule,operator,operator,1,0
35,human_override,receipt_revealed,scm,operator,operator,1,0
35,human_override,receipt_revealed,trace-r,operator,operator,1,0
36,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
36,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
36,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
36,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
36,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
36,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
36,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
36,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
36,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
36,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
37,human_override,ordinary_trace,outcome,operator,developer,0,0
37,human_override,ordinary_trace,causal,operator,developer,0,0
37,human_override,ordinary_trace,rule,operator,provider,0,0
37,human_override,ordinary_trace,scm,operator,operator,1,0
37,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
37,human_override,receipt_revealed,outcome,operator,developer,0,0
37,human_override,receipt_revealed,causal,operator,operator,1,0
37,human_override,receipt_revealed,rule,operator,operator,1,0
37,human_override,receipt_revealed,scm,operator,operator,1,0
37,human_override,receipt_revealed,trace-r,operator,operator,1,0
38,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
38,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
38,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
38,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
38,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
38,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
38,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
38,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
38,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
38,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
39,human_override,ordinary_trace,outcome,operator,developer,0,0
39,human_override,ordinary_trace,causal,operator,developer,0,0
39,human_override,ordinary_trace,rule,operator,provider,0,0
39,human_override,ordinary_trace,scm,operator,operator,1,0
39,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
39,human_override,receipt_revealed,outcome,operator,developer,0,0
39,human_override,receipt_revealed,causal,operator,operator,1,0
39,human_override,receipt_revealed,rule,operator,operator,1,0
39,human_override,receipt_revealed,scm,operator,operator,1,0
39,human_override,receipt_revealed,trace-r,operator,operator,1,0
40,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
40,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
40,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
40,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
40,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
40,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
40,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
40,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
40,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
40,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
41,human_override,ordinary_trace,outcome,operator,developer,0,0
41,human_override,ordinary_trace,causal,operator,developer,0,0
41,human_override,ordinary_trace,rule,operator,provider,0,0
