pair,family,state,truth,prediction,correct,abstain,observability,effective_observability
47,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
48,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
48,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
49,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
49,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
50,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
50,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
51,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
51,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
52,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
52,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
53,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
53,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
54,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
54,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
55,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
55,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
56,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
56,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
57,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
57,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
58,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
58,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
59,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
59,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
60,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
60,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
61,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
61,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
62,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
62,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
63,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
63,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
64,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
64,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
65,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
65,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
66,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
66,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
67,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
67,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
68,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
68,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
69,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
69,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
70,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
70,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
71,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
71,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
72,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
72,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
73,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
73,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
74,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
74,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
75,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
75,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
76,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
76,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
77,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
77,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
78,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
78,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
79,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
79,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
80,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
80,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
81,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
81,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
82,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
82,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
83,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
83,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
84,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
84,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
85,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
85,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
86,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
86,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
87,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
87,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
88,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
88,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
89,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
89,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
90,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
90,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
91,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
91,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
92,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
92,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
93,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
93,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
94,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
94,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
95,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
95,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
96,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
96,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
97,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
97,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
98,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
98,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
99,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
99,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
100,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
100,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
101,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
101,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
102,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
102,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
103,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
103,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
104,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
104,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
105,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
105,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
106,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
106,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
107,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
107,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
108,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
108,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
109,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
109,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
110,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
110,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
111,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
111,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
112,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
112,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
113,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
113,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
114,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
114,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
115,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
115,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
116,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
116,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
117,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
117,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
118,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
118,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
119,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
119,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
120,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
120,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
121,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
121,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
122,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
122,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
123,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
123,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
124,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
124,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
125,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
125,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
126,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
126,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
127,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
127,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
128,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
128,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
129,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
129,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
130,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
130,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
131,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
131,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
132,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
132,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
133,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
133,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
134,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
134,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
135,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
135,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
136,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
136,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
137,human_override,critical_channel_removed,operator,NOT_IDENTIFIABLE,0,1,0.9999999891031871,0.0
137,human_override,complete_evidence,operator,operator,1,0,0.9999999999117193,0.9999999999117193
138,unauthorized_delegation,critical_channel_removed,agent_A,NOT_IDENTIFIABLE,0,1,0.9999999999093758,0.0
138,unauthorized_delegation,complete_evidence,agent_A,agent_A,1,0,0.9999999999117193,0.9999999999117193
